"company","address_line_1","city","zipcode","naics8_descriptions","employee_size_location","sales_volume_location","state"
"SPICE KITCHEN","432 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"TARARA RESTAURANT + BAR","191 PINE ST","SAN FRANCISCO",94111,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ONIGILLY KEARNY","343 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"POSTCARDS AMERICAN BISTRO","180 GEARY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"ONE 65","165 OFARRELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"HONG KONG ECONOMIC & TRADE OFF","130 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"RURU KITCHEN","532 MARKET ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"BAMBOO ASIA","311 CALIFORNIA ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",13,926,"CA"
"SUTTER STREET CAFE","450 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"CAFE VENUE","218 MONTGOMERY ST","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",21,1495,"CA"
"ROXANNE CAFE","570 POWELL ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"SCALA'S BISTRO","432 POWELL ST","SAN FRANCISCO",94102,"FULL-SERVICE RESTAURANTS",200,14233,"CA"
"IRISH BANK BAR & RESTAURANT","10 MARK LN","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",25,1780,"CA"
"PLOUF INC","40 BELDEN PL","SAN FRANCISCO",94104,"FULL-SERVICE RESTAURANTS",43,3060,"CA"
"BALADIE GOURMET CAFE","337 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"E & O KITCHEN & BAR","314 SUTTER ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"AKIKOS RESTAURANT","431 BUSH ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"WORKING GIRLS' CAFE","259 KEARNY ST","SAN FRANCISCO",94108,"FULL-SERVICE RESTAURANTS",3,214,"CA"
"B & M MEI SING","62 2ND ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
"EL FARO MEXICAN FOODS","82 1ST ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"MC DONALD'S","609 MARKET ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",50,3559,"CA"
"HRD CORP","521A 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"TOKYO EXPRESS TERIYAKI HOUSE","160 SPEAR ST # 400","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",10,712,"CA"
"SUBWAY","30 2ND ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",7,499,"CA"
"HARVEST & ROWE INC","55 2ND ST # 150","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"SAUSALITO CAFE","100 1ST ST # 160","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"TOWN HALL RESTAURANT","342 HOWARD ST # 1","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",100,7117,"CA"
"MEXICO AU PARC","24 S PARK ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",4,285,"CA"
"WORKING GIRLS' CAFE","122 NEW MONTGOMERY ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",8,570,"CA"
"CAFE MADELEINE","149 NEW MONTGOMERY ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",12,854,"CA"
"SUSHI FANTASTIC","215 FREMONT ST # 2B","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"OSHA THAI RESTAURANT","149 2ND ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",20,1424,"CA"
"VITRINE","125 3RD ST","SAN FRANCISCO",94103,"FULL-SERVICE RESTAURANTS",30,2135,"CA"
"OSHA THAI RSTRNT-THIRD STREET","311 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"SAISON","178 TOWNSEND ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"LA BRICIOLA","489 3RD ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",5,356,"CA"
"WHAT'S UP DOG","699 FOLSOM ST","SAN FRANCISCO",94107,"FULL-SERVICE RESTAURANTS",2,143,"CA"
"BENU","22 HAWTHORNE ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"PROSPECT","300 SPEAR ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",6,427,"CA"
"GROVE YERBA BUENA","690 MISSION ST","SAN FRANCISCO",94105,"FULL-SERVICE RESTAURANTS",15,1068,"CA"
